TAB,Ancillary QC VARIABLES,Name,TYPE,SHAPE,UNITS,VALIDMIN,VALIDMAX,FILLVALUE,LONGNAME,FLAGVALUES,AXIS,COORDINATES,CFROLE,SCALEFACTOR,ADDOFFSET,SCALEDTYPE,FLAGMEANINGS,STANDARDNAME,Comment,MISSINGVALUE,POSITIVE,KEYWORDS
,,JVAU1-VAU1_SCALE_FACTOR,char,station time,,1,35,blank,Scaling Factor for VAU1,blank,,time alt lat lon,,1,,char,,,Scale factor for VAU1,,,
,,VAU1-UNCERT_TYPE_IVAU1,char,station time,,-99999,999999,blank,Uncertainty Type for VAU1,blank,,time alt lat lon,,1,,char,,,Uncertainty type for VAU1,,,
,,IVAU2-TYPE_IND_VAU2,char,station time,,1,35,blank,Type Indicator for VAU2,blank,,time alt lat lon,,1,,char,,,Adjustment Type Indicator for VAU2,,,
,,JVAU2-VAU2_SCALE_FACTOR,char,station time,,1,35,blank,Scaling Factor for VAU2,blank,,time alt lat lon,,1,,char,,,Scale factor for VAU2,,,
,,VAU2-UNCERT_TYPE_IVAU2,char,station time,,-99999,999999,blank,Uncertainty Type for VAU2,blank,,time alt lat lon,,1,,char,,,Uncertainty type for VAU2,,,
,,IVAU3-TYPE_IND_VAU3,char,station time,,1,35,blank,Type Indicator for VAU3,blank,,time alt lat lon,,1,,char,,,Adjustment Type Indicator for VAU3,,,
,,JVAU3-VAU3_SCALE_FACTOR,char,station time,,1,35,blank,Scaling Factor for VAU3,blank,,time alt lat lon,,1,,char,,,Scale factor for VAU3,,,
,,VAU3-UNCERT_TYPE_IVAU3,char,station time,,-99999,999999,blank,Uncertainty Type for VAU3,blank,,time alt lat lon,,1,,char,,,Uncertainty type for VAU3,,,
,,VQC-VAD_QC,char,station time,,1,4,blank 1 2 3 4 9,Value-Added Data QC Flag,blank,,time alt lat lon,,1,,integer,,,Value-added data QC Flag (IMMA Table C96a),,,
,,ARCI-AUTH_REF_CODE_IVAD,char,station time,,48,57,blank,Author Reference Code,blank,,time alt lat lon,,1,,char,,,Author reference code (peer reviewed pub etc describing methodologies applied,,,
,,CDNI-CREATE_DAY_NUM_IVAD,char,station time,,0,46655,blank,Creation Day Number,blank,,time alt lat lon,,1,,char,,,Creation day number beginning at 1 January 2014,,,
,,ASII-ACCESS_STATUS_IND_IVAD,char,station time,,0,1,blank,Access Status Indicator,blank,,time alt lat lon,,1,,integer,,,Acces status indicator,,,
,,ATTI-ATTM_IND8,char,station time,,97,97,blank,Attachment Indicator 8,blank,,time alt lat lon,,1,,integer,,,ATTM=97 - Error attm,,,
,,ATTL-ATTM_LEN8,char,station time,,18,18,blank,Attachment Length 8,blank,,time alt lat lon,,1,,integer,,,ATTM Length = variable (inherited from the referenced field configuration),,,
,,ICNE-INPUT_COMP_NUM_ERR,char,station time,,0,99,blank,Input Component Number - Error,blank,,time alt lat lon,,1,,integer,,,Error - Input Component number,,,
,,FNE-FIELD_NUM_ERR,char,station time,,1,99,blank,Field Number - Error,blank,,time alt lat lon,,1,,integer,,,Error - Field Number,,,
,,CEF-CORR_ERROR_FLAG,char,station time,,0,1,blank,Corrected/Erroneous Field Flag,blank,,time alt lat lon,,1,,integer,,,Error - Corrected/Erroneous field flag,,,
,,ERRD-CORR_ERROR_VALUE,char,station time,,-999999,-999999,blank,Corrected/Erroneous Field Value,blank,,time alt lat lon,,1,,integer,,,Error - Corrected/Erroneous field value,,,
,,ARCE-AUTH_REF_CODE_ERR,char,station time,,48,57,blank,Author Reference Code - Error,blank,,time alt lat lon,,1,,char,,,Error - Author reference code,,,
,,CDNE-CREATE_DAY_NUM_ERR,char,station time,,0,46655,blank,Creation Day Number - Error,blank,,time alt lat lon,,1,,char,,,Error - Create day number beginning  at 1 January 2014,,,
,,ASIE-ACCESS_STATUS_IND_ERR,char,station time,,0,1,blank,Access Status Indicator - Error,blank,,time alt lat lon,,1,,integer,,,Error - Access status indicator,,,
,,ATTI-ATTM_IND9,char,station time,,98,98,blank,Attachment Indicator 9,blank,,time alt lat lon,,1,,integer,,,ATTI=98 - Uid attm,,,
,,ATTL-ATTM_LEN9,char,station time,,15,15,blank,Attachment Length 9,blank,,time alt lat lon,,1,,integer,,,ATTM LENGTH = variable (inherited from the referenced field configuration,,,
,,UID-UNIQUE_ID,char,station time,,48,57,blank,Unique Report ID,blank,,time alt lat lon,,1,,char,,,Unique report ID ,,,
,,RN1-RELEASE_NUM_PRIMARY,char,station time,,0,35,blank,Release Number Primary,blank,,time alt lat lon,,1,,char,,,Release number primary (e.g R2.5.1: primary = 2),,,
,,RN2-RELEASE_NUM_SECONDARY,char,station time,,0,35,blank,Release Number Secondary,blank,,time alt lat lon,,1,,char,,,Release number secondary (e.g R2.5.1: secondary = 5),,,
,,RN3-RELEASE_NUM_TERTIARY,char,station time,,0,35,blank,Release Number Tertiary,blank,,time alt lat lon,,1,,char,,,Release number tertiary (e.g. R2.5.1: tertiary = 1),,,
,,RSA-RELEASE_STATUS_IND,char,station time,,0,2,blank,Release Status Indicator,blank,,time alt lat lon,,1,,integer,,,Release status indicator,,,
,,IRF-INTERMEDIATE_REJECT_FLAG,char,station time,,0,1,blank,Intermediate Reject Flag,blank,,time alt lat lon,,1,,integer,,,Intermediate product rejection flag,,,
,,ATTI-ATTM_IND10,char,station time,,99,99,blank,Attachment Indicator 10,blank,,time alt lat lon,,1,,integer,,,ATTM=99 - Supp attm (Original raw input record),,,
,,ATTL-ATTM_LEN10,char,station time,,0,0,blank,Attachment Length 10,blank,,time alt lat lon,,1,,integer,,,ATTM Length = 0 (but value is actually variable in length based on original input record),,,
,,ATTE-ATTM_ENC,char,station time,,0,1,blank,Attachment Encoding,blank,,time alt lat lon,,1,,integer,,,ATTM Encoding = missing; not currently used,,,
,,SUPD-SUPPLEMENTAL_DATA,char,station time,,32,126,blank,Supplemental Data,blank,,time alt lat lon,,1,,char,,,Original input record used to construct IMMA record,,,
