TAB,Ancillary QC VARIABLES,Name,TYPE,SHAPE,UNITS,VALIDMIN,VALIDMAX,FILLVALUE,LONGNAME,FLAGVALUES,AXIS,COORDINATES,CFROLE,SCALEFACTOR,ADDOFFSET,SCALEDTYPE,FLAGMEANINGS,STANDARDNAME,Comment,MISSINGVALUE,POSITIVE,KEYWORDS
,,ZNC-NCDC_QC_FLAG_REPORT_STATUS,char,station time,,1,10,blank,NCDC QC Flags - Full Report,1 2 3 4 5 6 7 8 9 10,,time alt lat lon,,1,,integer,correct correctable_legality correctable_internal_consistency suspect_internal_consistency suspect_time suspect_extreme_outside_plus_minus_4.8_sigma erroneous_legality erroneous_internal_consistency erroneous_outside_plus_minus_5.8_sigma missing,,NCDC QC Flags - Full Report Table J0-2 http://icoads.noaa.gov/Release_1/suppJ.html,,,
,,WNC-NCDC_QC_FLAG_WIND,char,station time,,1,10,blank,NCDC QC Flags - Wind,1 2 3 4 5 6 7 8 9 10,,time alt lat lon,,1,,integer,correct correctable_legality correctable_internal_consistency suspect_internal_consistency suspect_time suspect_extreme_outside_plus_minus_4.8_sigma erroneous_legality erroneous_internal_consistency erroneous_outside_plus_minus_5.8_sigma missing,,NCDC QC Flags - Wind Table J0-2 http://icoads.noaa.gov/Release_1/suppJ.html,,,
,,BNC-NCDC_QC_FLAG_VIS,char,station time,,1,10,blank,NCDC QC Flags - Visibility,1 2 3 4 5 6 7 8 9 10,,time alt lat lon,,1,,integer,correct correctable_legality correctable_internal_consistency suspect_internal_consistency suspect_time suspect_extreme_outside_plus_minus_4.8_sigma erroneous_legality erroneous_internal_consistency erroneous_outside_plus_minus_5.8_sigma missing,,NCDC QC Flags - Visibility Table J0-2 http://icoads.noaa.gov/Release_1/suppJ.html,,,
,,XNC-NCDC_QC_FLAG_PRES_WX,char,station time,,1,10,blank,NCDC QC Flags - Present Wx,1 2 3 4 5 6 7 8 9 10,,time alt lat lon,,1,,integer,correct correctable_legality correctable_internal_consistency suspect_internal_consistency suspect_time suspect_extreme_outside_plus_minus_4.8_sigma erroneous_legality erroneous_internal_consistency erroneous_outside_plus_minus_5.8_sigma missing,,NCDC QC Flags - Present Wx Table J0-2 http://icoads.noaa.gov/Release_1/suppJ.html,,,
,,YNC-NCDC_QC_FLAG_PAST_WX,char,station time,,1,10,blank,NCDC QC Flags - Past Wx,1 2 3 4 5 6 7 8 9 10,,time alt lat lon,,1,,integer,correct correctable_legality correctable_internal_consistency suspect_internal_consistency suspect_time suspect_extreme_outside_plus_minus_4.8_sigma erroneous_legality erroneous_internal_consistency erroneous_outside_plus_minus_5.8_sigma missing,,NCDC QC Flags - Past Wx Table J0-2 http://icoads.noaa.gov/Release_1/suppJ.html,,,
,,PNC-NCDC_QC_FLAG_SLP,char,station time,,1,10,blank,NCDC QC Flags - SLP,1 2 3 4 5 6 7 8 9 10,,time alt lat lon,,1,,integer,correct correctable_legality correctable_internal_consistency suspect_internal_consistency suspect_time suspect_extreme_outside_plus_minus_4.8_sigma erroneous_legality erroneous_internal_consistency erroneous_outside_plus_minus_5.8_sigma missing,,NCDC QC Flags - SLP Table J0-2 http://icoads.noaa.gov/Release_1/suppJ.html,,,
,,ANC-NCDC_QC_FLAG_AT,char,station time,,1,10,blank,NCDC QC Flags - Air Temp,1 2 3 4 5 6 7 8 9 10,,time alt lat lon,,1,,integer,correct correctable_legality correctable_internal_consistency suspect_internal_consistency suspect_time suspect_extreme_outside_plus_minus_4.8_sigma erroneous_legality erroneous_internal_consistency erroneous_outside_plus_minus_5.8_sigma missing,,NCDC QC Flags - Air Temp Table J0-2 http://icoads.noaa.gov/Release_1/suppJ.html,,,
,,GNC-NCDC_QC_FLAG_WBT,char,station time,,1,10,blank,NCDC QC Flags - Wet Bulb,1 2 3 4 5 6 7 8 9 10,,time alt lat lon,,1,,integer,correct correctable_legality correctable_internal_consistency suspect_internal_consistency suspect_time suspect_extreme_outside_plus_minus_4.8_sigma erroneous_legality erroneous_internal_consistency erroneous_outside_plus_minus_5.8_sigma missing,,NCDC QC Flags - Wet Bulb Table J0-2 http://icoads.noaa.gov/Release_1/suppJ.html,,,
,,DNC-NCDC_QC_FLAG_DPT,char,station time,,1,10,blank,NCDC QC Flags - Dew Point,1 2 3 4 5 6 7 8 9 10,,time alt lat lon,,1,,integer,correct correctable_legality correctable_internal_consistency suspect_internal_consistency suspect_time suspect_extreme_outside_plus_minus_4.8_sigma erroneous_legality erroneous_internal_consistency erroneous_outside_plus_minus_5.8_sigma missing,,NCDC QC Flags - Dew Point Table J0-2 http://icoads.noaa.gov/Release_1/suppJ.html,,,
,,SNC-NCDC_QC_FLAG_SST,char,station time,,1,10,blank,NCDC QC Flags - SST,1 2 3 4 5 6 7 8 9 10,,time alt lat lon,,1,,integer,correct correctable_legality correctable_internal_consistency suspect_internal_consistency suspect_time suspect_extreme_outside_plus_minus_4.8_sigma erroneous_legality erroneous_internal_consistency erroneous_outside_plus_minus_5.8_sigma missing,,NCDC QC Flags - SST Table J0-2 http://icoads.noaa.gov/Release_1/suppJ.html,,,
,,CNC-NCDC_QC_FLAG_CLD,char,station time,,1,10,blank,NCDC QC Flags - Clouds,1 2 3 4 5 6 7 8 9 10,,time alt lat lon,,1,,integer,correct correctable_legality correctable_internal_consistency suspect_internal_consistency suspect_time suspect_extreme_outside_plus_minus_4.8_sigma erroneous_legality erroneous_internal_consistency erroneous_outside_plus_minus_5.8_sigma missing,,NCDC QC Flags - Clouds Table J0-2 http://icoads.noaa.gov/Release_1/suppJ.html,,,
,,ENC-NCDC_QC_FLAG_WAVE,char,station time,,1,10,blank,NCDC QC Flags - Wind Waves,1 2 3 4 5 6 7 8 9 10,,time alt lat lon,,1,,integer,correct correctable_legality correctable_internal_consistency suspect_internal_consistency suspect_time suspect_extreme_outside_plus_minus_4.8_sigma erroneous_legality erroneous_internal_consistency erroneous_outside_plus_minus_5.8_sigma missing,,NCDC QC Flags - Wind Waves Table J0-2 http://icoads.noaa.gov/Release_1/suppJ.html,,,
,,FNC-NCDC_QC_FLAG_SWELL,char,station time,,1,10,blank,NCDC QC Flags - Swells,1 2 3 4 5 6 7 8 9 10,,time alt lat lon,,1,,integer,correct correctable_legality correctable_internal_consistency suspect_internal_consistency suspect_time suspect_extreme_outside_plus_minus_4.8_sigma erroneous_legality erroneous_internal_consistency erroneous_outside_plus_minus_5.8_sigma missing,,NCDC QC Flags - Swells Table J0-2 http://icoads.noaa.gov/Release_1/suppJ.html,,,
,,TNC-NCDC_QC_FLAG_CHAR_PPP,char,station time,,1,10,blank,NCDC QC Flags - Character of Pressure Tendency,1 2 3 4 5 6 7 8 9 10,,time alt lat lon,,1,,integer,correct correctable_legality correctable_internal_consistency suspect_internal_consistency suspect_time suspect_extreme_outside_plus_minus_4.8_sigma erroneous_legality erroneous_internal_consistency erroneous_outside_plus_minus_5.8_sigma missing,,NCDC QC Flags - Character of Pressure Tendency Table J0-2 http://icoads.noaa.gov/Release_1/suppJ.html,,,
,,QCE-EXTERNAL_QC_FLAG,char,station time,,0,63,blank,Externally Provided QC Flags,,,time alt lat lon,,1,,integer,,,Externally provided QC flags - source dependent,,,
,,LZ-LANDLOCKED_FLAG,char,station time,,1,1,blank,Landlocked Flag,1,,time alt lat lon,,1,,integer,report_over_land,,Indicates report taken over land,,,
,,QCZ-SOURCE_EXCL_FLAG,char,station time,,0,31,blank,Source Exclusion Flag,1,,time alt lat lon,,1,,integer,data_automatically_disqualified_from_statistics,,Indicates report retained in cases of duplicates,,,
,,ATTI-ATTM_IND2,char,station time,,5,5,blank,Attachment Indicator 2,blank,,time alt lat lon,,1,,integer,,,ATTI=5 - Immt attm,,,
,,ATTL-ATTM_LEN2,char,station time,,94,94,blank,Attachment Length 2,blank,,time alt lat lon,,1,,integer,,,Attm Length = 94 Characters,,,
,,OS-OB_SOURCE,char,station time,,0,6,blank,Observation Source,blank,,time alt lat lon,,1,,integer,,,Observation Source (logbook; publication; gts etc),,,
,,OP-OB_PLATFORM,char,station time,,0,9,blank,Observation Platform,blank,,time alt lat lon,,1,,integer,,,Observation Platform (ship; buoy etc),,,
,,FM-FM_CODE_VER,char,station time,,0,35,blank,FM SHIP Code Version,blank,,time alt lat lon,,1,,char,,,WMO GTS FM SHIP Code Version #,,,
,,IMMV-IMMT_VER,char,station time,,0,35,blank,IMMT Version,blank,,time alt lat lon,,1,,char,,,Version of IMMT format,,,
,,IX-WX_IND,char,station time,,1,7,blank,Weather Indicator,blank,,time alt lat lon,,1,,integer,,,WMO Code Table 1860,,,
,QI9-IMMT_QC_WX,W2-PAST_WX2,char,station time,,0,9,blank,Past Weather 2,blank,,time alt lat lon,,1,,integer,,,WMO Code Table 4561,,,
,,WMI-WAVE_MEAS_IND,char,station time,,0,9,blank,Wave Measurement Indicator,blank,,time alt lat lon,,1,,integer,,,Indicator for wave measurement,,,
,QI13-IMMT_QC_SWELL,SD2-DIR_OF_SWELL2,char,station time,,0,38,blank,Swell Direction 2,blank,,time alt lat lon,,1,,integer,,,Tens of Degrees following WMO Code Table 0877,,,
,QI13-IMMT_QC_SWELL,SP2-PER_OF_SWELL2,char,station time,,0,30,blank,Swell Period 2,blank,,time alt lat lon,,1,,integer,,sea_surface_swell_wave_period,whole seconds,,,Oceans > Ocean Waves > Swells 
,QI13-IMMT_QC_SWELL,SH2-HGT_OF_SWELL2,char,station time,,0,99,blank,Swell Height 2,blank,,time alt lat lon,,1,,integer,,sea_surface_swell_wave_significant_height,Half meters,,,Oceans > Ocean Waves > Swells 
,,IS-ICE_ACCR_SHIP,char,station time,,1,5,blank,Ice Accretion On Ship,blank,,time alt lat lon,,1,,integer,,,WMO Code Table 1751,,,
,,ES-THICKNESS_ICE_ACCR_SHIP,char,station time,cm,0,99,blank,Thickness of Ice Accretion On Ship,blank,,time alt lat lon,,1,,integer,,,centimeters,,,
,,RS-RATE_ICE_ACCR_SHIP,char,station time,,0,4,blank,Rate of Ice Accretion on Ship,blank,,time alt lat lon,,1,,integer,,,WMO Code Table 3551,,,
,,IC1-CONCEN_OF_SEA_ICE,char,station time,,0,10,blank,Concentration of Sea Ice,blank,,time alt lat lon,,1,,char,,,WMO Code Table 0639,,,
,,IC2-STG_OF_DEVEL,char,station time,,0,10,blank,Stage of Development of Sea Ice,blank,,time alt lat lon,,1,,char,,,WMO Code Table 3739,,,
,,IC3-ICE_OF_LAND_ORIGIN,char,station time,,0,10,blank,Ice of Land Origin,blank,,time alt lat lon,,1,,char,,,WMO Code Table 0439,,,
,,IC4-TRUE_BEARING_ICE_EDGE,char,station time,,0,10,blank,Ice Edge Bearing,blank,,time alt lat lon,,1,,char,,,WMO Code Table 0739,,,
,,IC5-ICE_TREND,char,station time,,0,10,blank,Ice trend,blank,,time alt lat lon,,1,,char,,,WMO Code Table 5239,,,
,QI14-IMMT_QC_PRECIP,IR-IND_FOR_PRECIP,char,station time,,0,4,blank,Precipitation Indicator,blank,,time alt lat lon,,1,,integer,,,WMO Code Table 1819,,,
,QI14-IMMT_QC_PRECIP,RRR-PRECIP_AMT,char,station time,,0,999,blank,Precipitation Amount,blank,,time alt lat lon,,1,,integer,,,WMO Code Table 3590,,,
,QI14-IMMT_QC_PRECIP,TR-DUR_OF_PRECIP,char,station time,,1,9,blank,Duration of Precipitation,blank,,time alt lat lon,,1,,integer,,,WMO Code Table 4019,,,
,,NU-NATIONAL_USE,char,station time,,32,126,blank,National Use,blank,,time alt lat lon,,1,,char,,,,,,
,,QCI-QC_IND,char,station time,,0,9,blank,QC Indicator,blank,,time alt lat lon,,1,,integer,,,Minimum Quality Control Standards Indicator (none;  automated; manual; etc),,,
,,QI1-IMMT_QC_H,char,station time,,0,9,blank,QC Flag - height of clouds ,0 1 2 3 4 5 6 7 8 9,,time alt lat lon,,1,,integer,no_qc_performed element_appears_correct element_appears_incosistent_with_other_elements element_appears_doubtful element_appears_erroneous element_changed_possibly_to_missing_as_a_result_of_QC element_flagged_by_CM_as_correct_but_according_to_MQCS_still_appears_suspect_or_missing element_flagged_by_CM_as_changed_but_according_to_MQCS_still_appears_suspect reserved element_is_missing,,QC Flag - height of clouds ,,,
,,QI2-IMMT_QC_VV,char,station time,,0,9,blank,QC Flag - visibility,0 1 2 3 4 5 6 7 8 9,,time alt lat lon,,1,,integer,no_qc_performed element_appears_correct element_appears_incosistent_with_other_elements element_appears_doubtful element_appears_erroneous element_changed_possibly_to_missing_as_a_result_of_QC element_flagged_by_CM_as_correct_but_according_to_MQCS_still_appears_suspect_or_missing element_flagged_by_CM_as_changed_but_according_to_MQCS_still_appears_suspect reserved element_is_missing,,QC Flag - visibility,,,
,,QI3-IMMT_QC_CLD,char,station time,,0,9,blank,QC Flag - clouds ,0 1 2 3 4 5 6 7 8 9,,time alt lat lon,,1,,integer,no_qc_performed element_appears_correct element_appears_incosistent_with_other_elements element_appears_doubtful element_appears_erroneous element_changed_possibly_to_missing_as_a_result_of_QC element_flagged_by_CM_as_correct_but_according_to_MQCS_still_appears_suspect_or_missing element_flagged_by_CM_as_changed_but_according_to_MQCS_still_appears_suspect reserved element_is_missing,,QC Flag - clouds ,,,
,,QI4-IMMT_QC_WIND_DIR,char,station time,,0,9,blank,QC Flag - wind direction,0 1 2 3 4 5 6 7 8 9,,time alt lat lon,,1,,integer,no_qc_performed element_appears_correct element_appears_incosistent_with_other_elements element_appears_doubtful element_appears_erroneous element_changed_possibly_to_missing_as_a_result_of_QC element_flagged_by_CM_as_correct_but_according_to_MQCS_still_appears_suspect_or_missing element_flagged_by_CM_as_changed_but_according_to_MQCS_still_appears_suspect reserved element_is_missing,,QC Flag - wind direction,,,
,,QI5-IMMT_QC_WIND_SPD,char,station time,,0,9,blank,QC Flag - wind speed,0 1 2 3 4 5 6 7 8 9,,time alt lat lon,,1,,integer,no_qc_performed element_appears_correct element_appears_incosistent_with_other_elements element_appears_doubtful element_appears_erroneous element_changed_possibly_to_missing_as_a_result_of_QC element_flagged_by_CM_as_correct_but_according_to_MQCS_still_appears_suspect_or_missing element_flagged_by_CM_as_changed_but_according_to_MQCS_still_appears_suspect reserved element_is_missing,,QC Flag - wind speed,,,
